EGID;VOLUMEN
201025450;30649
997;1221
210220649;315
210262395;9756
612;3319
210262618;61
96;1435
972;1269
89;692
91;751
92;692
93;692
94;781
95;728
210059695;1964
210262443;517
557;745
201007715;152
189;2120
977;794
200294601;1046
426;854
979;1897
567;1470
210262663;48
210262539;133
200294092;2937
982;1196
210059703;1452
210059704;1415
201007720;4193
985;708
283;910
966;515
1103;1420
1406;2718
1407;2718
210262408;1404
210196457;501
1331;2350
986;1170
993;1963
992;802
999;637
210262688;61
991;322
998;1954
989;541
995;2389
987;598
210262641;46
210262543;97
875;19630
428;554
721;988
429;680
210262559;87
722;664
430;540
2248795;1171
431;650
724;1849
1053;625
720;1194
210262512;110
2249078;7317
210262401;1467
1091;862
438;1747
729;582
425;971
718;505
424;988
717;732
210262725;29
715;862
210262651;42
210262738;29
713;1406
210262729;29
736;7632
210262740;29
210262734;29
210262736;29
705;657
210262727;29
704;874
210262728;29
703;811
210262733;29
210262730;29
210262689;132
210262726;29
210262735;29
708;4021
712;578
210262834;134
714;1427
210262731;29
710;6165
210262741;29
210262739;29
210262723;29
210262737;29
210262724;29
210262722;29
1377;1064
2331755;16272
210262368;7792
1404;2889
1405;2718
2331756;465
769;1120
210262372;3931
201025370;1130
768;365
2249037;557
765;1509
762;2060
767;1026
763;2055
764;1405
210262667;52
760;1334
210262566;110
730;1387
759;273
210276283;938
201007689;1081
757;582
636;2412
210262593;65
734;873
160;940
716;659
210262483;273
726;1937
162;858
210262485;248
802;50210
725;2335
506;2626
217;800
218;900
207;1167
212;1160
647;464
210262529;135
208;906
633;855
637;437
634;647
632;744
165;1505
638;1212
239;1049
209;1034
210;983
639;1735
211;878
216;989
642;1020
643;1329
521;975
519;545
215;1446
520;700
210262383;1778
523;9042
2249079;2429
615;2682
617;3795
644;4858
611;2301
1438;1138
575;11129
529;1119
530;1055
158;1089
210262402;1477
1173;6169
571;11661
550;2918
543;4759
1245;2100
541;3765
535;3930
536;4000
210262841;1319
558;3228
210059768;192
560;3228
553;1078
2248788;2631
562;3228
570;1302
210059770;72
564;844
566;866
210059771;288
565;576
210262835;21
851;921
210262137;3625
343;1188
342;659
423;646
333;643
336;1994
210262695;51
210262532;115
645;822
337;1536
210262468;323
2331757;6596
335;459
341;557
338;440
340;636
332;5696
344;502
330;1288
329;4593
210262837;234
201041058;938
339;1270
4;832
326;59
327;483
324;838
6;1154
325;867
8;849
10;682
210262624;73
323;672
3;921
5;624
320;763
319;974
210262640;78
2248790;2956
503;501
7;654
484;461
9;619
482;607
11;701
487;2889
12;661
1102;863
509;523
510;566
210059782;120
483;2678
362;3204
485;3611
359;4414
356;7136
351;7569
345;879
346;592
315;2032
347;3317
314;2036
348;3002
371;5330
349;3697
350;3477
370;1964
357;3051
369;2789
373;1925
374;2534
210262393;1876
427;596
1101;866
210262438;256
1099;624
518;668
517;665
515;433
1100;619
14;601
210262562;76
494;625
210262643;47
210262653;51
210262652;47
13;176
210262576;120
493;906
200294514;12011
495;962
400;807
401;790
159;996
169;1014
210059794;1896
210059795;124
210059796;124
505;407
488;744
501;1671
502;701
210220763;474
504;362
210262484;125
507;678
210262505;247
1291;2216
210262645;45
250;602
210262637;46
244;627
210262842;1679
499;1032
210262436;644
210262642;56
870;2276
498;2975
112;628
200294924;34452
210262581;1095
512;3265
210262414;960
513;16547
478;3797
200299047;6196
113;625
210196477;4231
1022;844
2249012;8783
552;973
959;3927
544;1030
477;622
1458;386
1459;1166
1460;1496
1461;248
1463;869
1464;586
1465;828
210262580;140
1005;4952
1468;703
1007;2204
1467;756
1085;1045
1469;659
1470;473
1471;309
210261596;204
210262679;38
364;897
363;1426
365;628
106;742
210220761;243
107;641
262;1691
108;667
109;706
110;641
111;657
114;589
115;608
277;997
116;667
210262537;99
245;526
276;1243
275;1684
278;502
279;723
2248791;5201
246;526
210245993;351
210262540;141
200297382;27769
210262375;5225
307;13302
247;526
248;526
249;543
251;589
252;575
2331764;480
236;815
210262838;130
222;615
223;5324
219;1529
225;4618
253;584
254;590
210193635;768
255;602
210262440;543
256;9433
227;3445
210262843;1565
240;624
3114611;846
549;802
547;650
548;650
238;783
242;1539
210262840;60
241;574
311;309
210059836;183
210059837;454
210059838;3118
210262888;249
210059840;966
210059841;43
229;5333
139;808
210262674;42
140;489
210262657;42
136;494
210262654;42
138;557
284;613
137;1456
141;4216
210262589;86
285;591
142;2268
210262511;105
143;1471
150;2121
151;2259
286;602
152;2863
146;3137
153;840
147;2288
201001757;2269
201001758;2279
287;598
154;1717
155;1759
210262513;103
288;591
289;638
157;874
190;1006
164;1463
377;822
378;777
379;700
380;673
381;673
382;854
383;870
384;787
385;749
386;581
387;651
388;633
389;552
390;520
391;520
392;614
210262633;45
210262634;45
210262635;45
210262626;46
210262647;46
210262661;45
210262664;45
210262649;45
421;655
393;661
395;688
396;894
397;841
168;803
191;603
398;658
210262564;203
399;864
376;1274
210262602;46
394;870
420;751
415;731
417;713
419;638
414;574
413;652
412;574
2248800;6125
411;559
3022137;1249
409;559
410;574
416;588
418;614
402;579
404;559
407;559
408;574
441;607
403;719
405;792
406;591
15;2242
295;819
296;790
297;790
298;819
299;819
300;790
301;790
302;790
303;790
304;790
305;819
2248906;9770
210262765;56
210262766;395
210262767;322
1292;1912
2331772;30792
161;734
243;2732
706;6503
2331773;8544
123;770
9062439;1609
73;8355
87;1498
16;790
77;587
361;4282
78;589
1192;5180
79;551
80;620
316;862
81;558
82;667
317;736
83;555
210262417;525
84;525
830;6003
831;5170
210262768;1507
210262590;85
3114594;896
322;876
321;839
210262551;92
18;644
17;667
20;644
261;1036
282;852
281;1100
97;607
2248828;1398
98;683
99;592
260;756
100;554
259;904
101;548
210262616;54
102;545
210262606;61
103;598
2249048;393
104;573
210262492;131
105;587
2249083;23414
2248818;1840
1408;6665
210262769;237
210059871;903
210262515;113
2248911;914
2331774;2855
210059873;101
19;626
21;716
280;932
210262567;65
1402;774
1401;672
1400;695
1398;672
1396;690
210262665;46
210262669;46
210262666;46
210262671;46
210262668;46
210262770;37
1437;989
210262594;65
1435;1039
1436;907
210262595;78
3022138;1178
210059883;1387
134;4863
805;3340
799;2448
800;2375
210262771;640
554;811
555;688
1255;6814
2248844;1267
122;4009
1246;13023
801;4126
127;712
129;5135
126;599
131;3970
125;613
133;2143
2248833;776
210262552;181
1026;2330
2331776;3218
941;6525
867;1221
935;741
210262434;443
866;418
869;554
210262761;33
865;2481
